%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.type
115018000000,114,115018000000,sim_sensor,0.0,-5.2218335316,1.73752580776,0.0634972487055,-9.42594452773e-07,-1.09744899707e-06,0.701872833856,-0.712302270875,
116018000000,115,116018000000,sim_sensor,0.0,-5.21445062477,1.23809019293,0.0634976538385,-1.13700555879e-06,-1.08139724648e-06,0.701857576037,-0.712317304968,
117017000000,116,117017000000,sim_sensor,0.0,-5.20705924398,0.738092395725,0.0634972719109,6.47415446323e-07,-1.04944119291e-06,0.701855788987,-0.712319065773,
118016000000,117,118016000000,sim_sensor,0.0,-5.19966502065,0.238088727438,0.0634968789284,-2.30971913873e-06,-4.56341532261e-07,0.701860940032,-0.712313990352,
119016000000,118,119016000000,sim_sensor,3.0,-5.19226520328,-0.262353902245,0.0634977083724,-5.17146076953e-07,-8.65460485758e-07,0.701854978965,-0.712319863896,
120019000000,119,120019000000,sim_sensor,6.0,-5.18486349368,-0.762887281683,0.0634974505941,-1.51081844208e-07,-1.20566012382e-06,0.701869043599,-0.712306005615,
121016000000,120,121016000000,sim_sensor,6.0,-5.13248341669,-1.24554989326,0.0634977045443,-6.22974670149e-07,1.83067441712e-06,0.566326446061,-0.824181021674,
122017000000,121,122017000000,sim_sensor,3.0,-4.95273466491,-1.71247449915,0.0634970059802,-7.39919285614e-07,-2.65982539386e-06,0.565896184405,-0.82447650571,
123018000000,122,123018000000,sim_sensor,3.0,-4.78106281016,-2.1800604758,0.0634977115143,-3.95100256324e-07,-8.20978034958e-07,0.578097700093,-0.815967553979,
124016000000,123,124016000000,sim_sensor,6.0,-4.61539990689,-2.65136492406,0.0634974402782,1.43061039107e-07,-6.62626464141e-07,0.57809101142,-0.815972292738,
125012000000,124,125012000000,sim_sensor,8.0,-4.44993231805,-3.12212053859,0.0634974821897,-6.44522669651e-07,-2.1029100761e-06,0.578100035868,-0.815965899119,
126018000000,125,126018000000,sim_sensor,5.0,-4.28396246441,-3.59430598463,0.0634976045501,-2.16848712205e-07,-2.12194106817e-07,0.578100445582,-0.815965608845,
127015000000,126,127015000000,sim_sensor,9.0,-4.11796897385,-4.06656275668,0.0634968497875,-2.88441037452e-07,-1.56520856119e-06,0.578092415002,-0.81597129834,
128017000000,127,128017000000,sim_sensor,77.0,-3.95218172393,-4.53823544242,0.0634976783923,-5.97278940161e-07,-1.37967759331e-06,0.578102234429,-0.815964341467,
129017000000,128,129017000000,sim_sensor,74.0,-3.78637028001,-5.00997969869,0.0634972440215,-4.23606020373e-07,3.6143812423e-07,0.578102375827,-0.81596424129,
130019000000,129,130019000000,sim_sensor,23.0,-3.62055775466,-5.48173038938,0.0634969731851,-1.11179393968e-07,-2.79766192143e-06,0.578101870532,-0.815964599281,
131019000000,130,131019000000,sim_sensor,16.0,-3.45476838641,-5.95341973836,0.0634977114421,-3.67813224532e-07,-7.75666605933e-07,0.578104634632,-0.815962640944,
132017000000,131,132017000000,sim_sensor,16.0,-3.28878123214,-6.42567251849,0.063497415498,3.09907273741e-08,-6.29764426037e-07,0.578096724152,-0.815968245414,
133018000000,132,133018000000,sim_sensor,14.0,-3.12315653951,-6.89690078308,0.0634974894899,-6.67173682009e-07,-2.07043833585e-06,0.578107183937,-0.815960834768,
134018000000,133,134018000000,sim_sensor,12.0,-2.93009089955,-7.42454550606,0.0634973506529,6.04439976286e-06,-4.52948203837e-07,0.501983261301,-0.864877335428,
135016000000,134,135016000000,sim_sensor,19.0,-2.57187653604,-7.7678134474,0.06349587464,7.75774452207e-07,-9.61903764e-07,0.0840874952429,-0.996458375017,
136018000000,135,136018000000,sim_sensor,19.0,-2.06029277115,-7.83453348704,0.0634976947516,1.14262401158e-07,-1.46935688765e-06,0.0415239522615,-0.999137508748,
137018000000,136,137018000000,sim_sensor,28.0,-1.55604224411,-7.85839927849,0.0634972555503,9.84712830125e-07,2.87679304835e-08,0.0179608145603,-0.999838691559,
138021000000,137,138021000000,sim_sensor,37.0,-1.05480391296,-7.87641496802,0.063496983557,-7.93801878048e-07,-2.41035912484e-06,0.0179637660271,-0.999838638533,
139018000000,138,139018000000,sim_sensor,42.0,-0.556623580477,-7.89431956478,0.0634977151567,2.03341227735e-07,-9.08313760571e-07,0.0179583190862,-0.999838736384,
140021000000,139,140021000000,sim_sensor,56.0,-0.0548519620177,-7.91235194029,0.0634972335151,2.24992097872e-07,-5.81534496247e-07,0.0179585653977,-0.999838731961,
141019000000,140,141019000000,sim_sensor,68.0,0.442837205587,-7.93023554522,0.0634975151372,-1.55747760735e-07,-2.05106450586e-06,0.0179568956862,-0.999838761948,
142019000000,141,142019000000,sim_sensor,99.0,0.942549133012,-7.94819099963,0.0634976047195,4.07398364068e-07,-3.24928081095e-07,0.0179528944652,-0.999838833803,
143023000000,142,143023000000,sim_sensor,124.0,1.44483220875,-7.96623683246,0.063496462121,-1.53096947945e-07,-2.20015247624e-06,0.0179560449993,-0.999838777225,
144025000000,143,144025000000,sim_sensor,181.0,1.9444890945,-7.98418730806,0.0634976852975,6.27002700831e-08,-1.49907608105e-06,0.0179519597958,-0.999838850584,
145024000000,144,145024000000,sim_sensor,168.0,2.44473049874,-8.00215728329,0.0634972716881,9.71140332934e-07,3.36865683329e-08,0.0179496209085,-0.999838892576,
