Distance(cm),Unattenuated,Water(5cm),Concrete(5cm),Water(10cm)
56.4,2.07E-05,1.31E-05,7.95E-06,8.38E-06
56.5,2.06E-05,1.31E-05,7.93E-06,8.35E-06
56.6,2.06E-05,1.30E-05,7.90E-06,8.32E-06
56.7,2.05E-05,1.30E-05,7.87E-06,8.29E-06
56.8,2.04E-05,1.29E-05,7.84E-06,8.26E-06
56.9,2.03E-05,1.29E-05,7.81E-06,8.23E-06
57,2.03E-05,1.28E-05,7.79E-06,8.20E-06
57.1,2.02E-05,1.28E-05,7.76E-06,8.17E-06
57.2,2.01E-05,1.27E-05,7.73E-06,8.15E-06
57.3,2.01E-05,1.27E-05,7.71E-06,8.12E-06
57.4,2.00E-05,1.27E-05,7.68E-06,8.09E-06
57.5,1.99E-05,1.26E-05,7.65E-06,8.06E-06
57.6,1.99E-05,1.26E-05,7.63E-06,8.03E-06
57.7,1.98E-05,1.25E-05,7.60E-06,8.01E-06
57.8,1.97E-05,1.25E-05,7.57E-06,7.98E-06
